Case,J,Z,Active,Displayed,Iterations,Seconds,Residual,Converged,Equilibrium,Connectivity,VolumeOK
"Zhang2018 Fig. 7(c)  --  1 material, 1 volume constraint",1.13640063555151,NaN,103,48,455,16.2187073,2.17323928812768e-10,1,1,1,1
"Zhang2018 Fig. 8(c)  --  2 materials, 1 volume constraint",1.13642585757598,NaN,97,48,411,22.8486105,3.62673839521628e-10,1,1,1,1
"Zhang2018 Fig. 8(d)  --  2 materials, 2 volume constraints",1.17935063918256,NaN,175,73,584,51.7052119,3.25368913274894e-10,1,1,1,1
"Ex1  --  deep beam, ties full depth, any angle",0.00108740500420607,7.72930194806873,44,31,716,7.0462159,1.19951597963758e-10,1,1,1,1
"Ex2  --  deep beam, ties below 2H/3",0.00291500050117302,7.87500000001089,26,15,1544,6.892024,2.17178671954553e-11,1,1,1,1
"Ex3  --  deep beam, ties below H/2",0.001118734724952,7.85119047621427,40,27,452,4.615412,5.63925525577452e-11,1,1,1,1
"Ex4  --  deep beam, ties at 0/90 deg",0.00132102954335499,8.60000000001441,54,33,1065,8.6679041,1.09862558092725e-10,1,1,1,1
"Ex5  --  deep beam, ties at 0/45/90 deg",0.00112490845228645,7.87500598899985,54,23,1707,12.7968876,1.11503567048969e-10,1,1,1,1
"Ex7a  --  long-span bridge, Ec/Et = 1",1.9186420259663,18.3238193650269,68,50,3307,29.2435989,4.23444492724076e-09,1,1,1,1
"Ex7b  --  long-span bridge, Ec/Et = 0.09",12.2431579663437,20.7043335886954,79,60,1528,14.5527312,7.14812267050613e-10,1,1,1,1
"Ex7c  --  long-span bridge, Ec/Et = 0.04",22.0781266245498,31.9035487995026,55,45,968,9.8992224,2.82914031701205e-13,1,1,1,1
"Ex7d  --  long-span bridge, Ec/Et = 0.0225",29.4844251458503,48.7601411018801,32,26,350,4.601401,1.2111513756124e-09,1,1,1,1
